2022/09/29 13:22:35 build time 1.987089667         cpu load: 0.13%		 ram load: 55.80%		
2022/09/29 13:27:38 build time 1.986166362         cpu load: 0.02%		 ram load: 55.80%		
2022/09/29 13:32:41 build time 1.979536859         cpu load: 0.13%		 ram load: 56.11%		
2022/09/29 13:37:44 build time 1.977684619         cpu load: 0.00%		 ram load: 56.11%		
2022/09/29 13:42:47 build time 1.986007340         cpu load: 0.19%		 ram load: 55.49%		
2022/09/29 13:47:50 build time 2.011392222         cpu load: 0.08%		 ram load: 55.59%		
2022/09/29 13:52:53 build time 1.982376956         cpu load: 0.10%		 ram load: 55.49%		
2022/09/29 13:57:56 build time 2.001098378         cpu load: 0.00%		 ram load: 55.07%		
2022/09/29 14:02:59 build time 1.972654563         cpu load: 0.00%		 ram load: 55.69%		
2022/09/29 14:08:02 build time 1.983556674         cpu load: 0.05%		 ram load: 55.80%		
2022/09/29 14:13:05 build time 1.991809159         cpu load: 0.04%		 ram load: 55.59%		
2022/09/29 14:18:08 build time 2.000805382         cpu load: 0.00%		 ram load: 55.49%		
2022/09/29 14:23:11 build time 1.989542706         cpu load: 0.00%		 ram load: 55.69%		
2022/09/29 14:28:14 build time 2.036124930         cpu load: 0.01%		 ram load: 52.07%		
2022/09/29 14:33:17 build time 1.975826992         cpu load: 0.02%		 ram load: 55.80%		
2022/09/29 14:38:21 build time 1.989152918         cpu load: 0.01%		 ram load: 55.90%		
2022/09/29 14:43:24 build time 1.983126112         cpu load: 0.00%		 ram load: 56.21%		
2022/09/29 14:48:27 build time 2.040468872         cpu load: 0.01%		 ram load: 55.38%		
2022/09/29 14:53:30 build time 1.979723481         cpu load: 0.02%		 ram load: 56.42%		
2022/09/29 14:58:33 build time 1.984129109         cpu load: 0.00%		 ram load: 55.38%		
2022/09/29 15:03:36 build time 2.010126309         cpu load: 0.00%		 ram load: 55.69%		
2022/09/29 15:08:39 build time 1.990870821         cpu load: 0.01%		 ram load: 55.69%		
2022/09/29 15:13:43 build time 1.988728900         cpu load: 0.04%		 ram load: 55.59%		
2022/09/29 15:18:46 build time 1.983392857         cpu load: 0.01%		 ram load: 55.69%		
2022/09/29 15:23:49 build time 1.993808915         cpu load: 0.00%		 ram load: 55.80%		
2022/09/29 15:28:52 build time 1.986771037         cpu load: 0.04%		 ram load: 55.80%		
